Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
CornerFLT,Button Label,前左上,Front Left Top,前左上,前左上,전좌상,Frente Izquierda Arriba,الجبهة اليسرى العليا,Depan Kiri Atas,
CornerBRT,Button Label,後右上,Back Right Top,后右上,後右上,후우상,Atrás Derecha Arriba,الخلفية اليمنى العليا,Belakang Kanan Atas,
CornerBLT,Button Label,後左上,Back Left Top,后左上,後左上,후좌상,Atrás Izquierda Arriba,الخلفية اليسرى العليا,Belakang Kiri Atas,
CornerFRB,Button Label,前右下,Front Right Bottom,前右下,前右下,전우하,Frente Derecha Abajo,الجبهة اليمنى السفلى,Depan Kanan Bawah,
CornerFLB,Button Label,前左下,Front Left Bottom,前左下,前左下,전좌하,Frente Izquierda Abajo,الجبهة اليسرى السفلى,Depan Kiri Bawah,
CornerBRB,Button Label,後右下,Back Right Bottom,后右下,後右下,후우하,Atrás Derecha Abajo,الخلفية اليمنى السفلى,Belakang Kanan Bawah,
CornerBLB,Button Label,後左下,Back Left Bottom,后左下,後左下,후좌하,Atrás Izquierda Abajo,الخلفية اليسرى السفلى,Belakang Kiri Bawah,
PilotView,Button Label,パイロット視点,Pilot View,飞行员视角,飛行員視角,파일럿 시점,Vista de piloto,وجهة نظر الطيار,Tampilan Pilot,
Wireframe,Button Label,ワイヤーフレーム,Wireframe,线框,線框,와이어프레임,Estructura de alambre,إطار سلكي,Wireframe,
Snap,CheckBox Label,スナップ,Snap,吸附,吸附,스냅,Ajuste,العض,Snap,
Focus,Button Label,フォーカス (F),Focus (F),聚焦 (F),聚焦 (F),초점 (F),Enfoque (F),التركيز (F),Fokus (F),
Undo,Button Label,元に戻す,Undo,撤销,復原,실행 취소,Deshacer,تراجع,Urungkan,
Redo,Button Label,やり直し,Redo,重做,重做,다시 실행,Rehacer,إعادة,Ulangi,
Solid,Enum Value,ソリッド,Solid,实体,實體,솔리드,Sólido,صلب,Padat,
Flat,Enum Value,フラット,Flat,平坦,平坦,플랫,Plano,مسطح,Datar,
DisplayMode,Setting Label,表示モード,Display Mode,显示模式,顯示模式,표시 모드,Modo de visualización,وضع العرض,Mode Tampilan,
InfiniteGrid,CheckBox Label,無限グリッド,Infinite Grid,无限网格,無限網格,무한 그리드,Cuadrícula infinita,شبكة لا نهائية,Grid Tak Terbatas,
TargetFixed,Label,固定,Fixed,固定,固定,고정,Fijo,ثابت,Tetap,
Timeline_Play,Play,再生,再生,再生,再生,Mainkan,Reproducir,شغل,Putar,
Timeline_Pause,Pause,一時停止,暂停,暫停,일시 정지,Jeda,Pausa,إيقاف مؤقت,Jeda,
Timeline_Stop,Stop,停止,停止,停止,정지,Berhenti,Detener,قف,Berhenti,
Timeline_AddKey,Add Key,キー追加,添加关键帧,添加關鍵幀,키 추가,Tambahkan bingkai utama,Añadir fotograma clave,إضافة إطار رئيسي,Tambah Keyframe,
Timeline_RemoveKey,Remove Key,キー削除,删除关键帧,刪除關鍵幀,키 삭제,Hapus bingkai utama,Eliminar fotograma clave,إزالة الإطار الرئيسي,Hapus Keyframe,
Timeline_Easing,Easing,イージング,缓动,緩動,이징,Easing,Atenuación,تخفيف,Easing,
Timeline_Time,Time,時間,时间,時間,시간,Waktu,Tiempo,وقت,Waktu,
Timeline_Duration,Duration,長さ,时长,長度,길이,Durasi,Duración,المدة الزمنية,Durasi,
Timeline_Seconds,s,秒,秒,秒,초,s,s,ث,s,
Timeline_Play,Play,再生,再生,再生,再生,Mainkan,Reproducir,شغل,Putar,
Timeline_Pause,Pause,一時停止,暂停,暫停,일시 정지,Jeda,Pausa,إيقاف مؤقت,Jeda,
Timeline_Stop,Stop,停止,停止,停止,정지,Berhenti,Detener,قف,Berhenti,
Timeline_AddKey,Add Key,キー追加,添加关键帧,添加關鍵幀,키 추가,Tambahkan bingkai utama,Añadir fotograma clave,إضافة إطار رئيسي,Tambah Keyframe,
Timeline_RemoveKey,Remove Key,キー削除,删除关键帧,刪除關鍵幀,키 삭제,Hapus bingkai utama,Eliminar fotograma clave,إزالة الإطار الرئيسي,Hapus Keyframe,
Timeline_Easing,Easing,イージング,缓动,緩動,이징,Easing,Atenuación,تخفيف,Easing,
Timeline_Time,Time,時間,时间,時間,시간,Waktu,Tiempo,وقت,Waktu,
Timeline_Duration,Duration,長さ,时长,長度,길이,Durasi,Duración,المدة الزمنية,Durasi,
Timeline_Seconds,s,秒,秒,秒,초,s,s,ث,s,
Preset_Save,Save Preset,プリセット保存,保存预设,保存預設,프리셋 저장,Simpan Preset,Guardar ajuste preestablecido,حفظ الإعداد المسبق,Simpan Preset,
Preset_Delete,Delete Preset,プリセット削除,删除预设,刪除預設,프리셋 삭제,Hapus Preset,Eliminar ajuste preestablecido,حذف الإعداد المسبق,Hapus Preset,
Dialog_Name,Name,名前,名称,名稱,이름,Nama,Nombre,اسم,Nama,
Dialog_Ok,OK,OK,确定,確定,확인,OK,Aceptar,موافق,OK,
Dialog_Cancel,Cancel,キャンセル,取消,取消,취소,Batal,Cancelar,إلغاء,Batal,
Editor_ResetView,Reset View,初期位置,重置视图,重置視圖,뷰 초기화,Reset Tampilan,Restablecer vista,إعادة تعيين العرض,Reset Tampilan,
Easing_Linear,Easing Name,リニア,Linear,线性,線性,선형,Lineal,خطي,Linear,
Easing_SineIn,Easing Name,サイン (In),Sine In,正弦 (In),正弦 (In),사인 (In),Seno In,جيب (In),Sine In,
Easing_SineOut,Easing Name,サイン (Out),Sine Out,正弦 (Out),正弦 (Out),사인 (Out),Seno Out,جيب (Out),Sine Out,
Easing_SineInOut,Easing Name,サイン (InOut),Sine InOut,正弦 (InOut),正弦 (InOut),사인 (InOut),Seno InOut,جيب (InOut),Sine InOut,
Easing_QuadIn,Easing Name,クアッド (In),Quad In,二次 (In),二次 (In),쿼드 (In),Quad In,رباعي (In),Quad In,
Easing_QuadOut,Easing Name,クアッド (Out),Quad Out,二次 (Out),二次 (Out),쿼드 (Out),Quad Out,رباعي (Out),Quad Out,
Easing_QuadInOut,Easing Name,クアッド (InOut),Quad InOut,二次 (InOut),二次 (InOut),쿼드 (InOut),Quad InOut,رباعي (InOut),Quad InOut,
Easing_CubicIn,Easing Name,キュービック (In),Cubic In,三次 (In),三次 (In),큐빅 (In),Cúbico In,مكعب (In),Cubic In,
Easing_CubicOut,Easing Name,キュービック (Out),Cubic Out,三次 (Out),三次 (Out),큐빅 (Out),Cúbico Out,مكعب (Out),Cubic Out,
Easing_CubicInOut,Easing Name,キュービック (InOut),Cubic InOut,三次 (InOut),三次 (InOut),큐빅 (InOut),Cúbico InOut,مكعب (InOut),Cubic InOut,
Easing_QuartIn,Easing Name,クオート (In),Quart In,四次 (In),四次 (In),쿼트 (In),Quart In,الرابعة (In),Quart In,
Easing_QuartOut,Easing Name,クオート (Out),Quart Out,四次 (Out),四次 (Out),쿼트 (Out),Quart Out,الرابعة (Out),Quart Out,
Easing_QuartInOut,Easing Name,クオート (InOut),Quart InOut,四次 (InOut),四次 (InOut),쿼트 (InOut),Quart InOut,الرابعة (InOut),Quart InOut,
Easing_QuintIn,Easing Name,クイント (In),Quint In,五次 (In),五次 (In),퀸트 (In),Quint In,الخامسة (In),Quint In,
Easing_QuintOut,Easing Name,クイント (Out),Quint Out,五次 (Out),五次 (Out),퀸트 (Out),Quint Out,الخامسة (Out),Quint Out,
Easing_QuintInOut,Easing Name,クイント (InOut),Quint InOut,五次 (InOut),五次 (InOut),퀸트 (InOut),Quint InOut,الخامسة (InOut),Quint InOut,
Easing_ExpoIn,Easing Name,エクスポ (In),Expo In,指数 (In),指數 (In),엑스포 (In),Expo In,إكسبو (In),Expo In,
Easing_ExpoOut,Easing Name,エクスポ (Out),Expo Out,指数 (Out),指數 (Out),엑스포 (Out),Expo Out,إكسبو (Out),Expo Out,
Easing_ExpoInOut,Easing Name,エクスポ (InOut),Expo InOut,指数 (InOut),指數 (InOut),엑스포 (InOut),Expo InOut,إكسبو (InOut),Expo InOut,
Easing_CircIn,Easing Name,サークル (In),Circ In,圆形 (In),圓形 (In),서클 (In),Circ In,دائري (In),Circ In,
Easing_CircOut,Easing Name,サークル (Out),Circ Out,圆形 (Out),圓形 (Out),서클 (Out),Circ Out,دائري (Out),Circ Out,
Easing_CircInOut,Easing Name,サークル (InOut),Circ InOut,圆形 (InOut),圓形 (InOut),서클 (InOut),Circ InOut,دائري (InOut),Circ InOut,
Easing_BackIn,Easing Name,バック (In),Back In,回退 (In),回退 (In),백 (In),Back In,عودة (In),Back In,
Easing_BackOut,Easing Name,バック (Out),Back Out,回退 (Out),回退 (Out),백 (Out),Back Out,عودة (Out),Back Out,
Easing_BackInOut,Easing Name,バック (InOut),Back InOut,回退 (InOut),回退 (InOut),백 (InOut),Back InOut,عودة (InOut),Back InOut,
Preset_Standard,Preset Type,標準,Standard,标准,標準,표준,Estándar,قياسي,Standar,
Preset_Custom,Preset Type,カスタム,Custom,自定义,自定義,사용자 지정,Personalizado,مخصص,Kustom,
Shader,Setting Label,シェーダー,Shader,着色器,著色器,셰이더,Sombreador,مظلل,Shader,
Shader_Desc,Setting Description,読み込むシェーダーファイルを指定します。(hlsl, fx, shader, cg, glsl, vert, frag, txt),Specifies the shader file to load. (hlsl, fx, shader, cg, glsl, vert, frag, txt),指定要加载的着色器文件。(hlsl, fx, shader, cg, glsl, vert, frag, txt),指定要載入的著色器檔案。(hlsl, fx, shader, cg, glsl, vert, frag, txt),로드할 셰이더 파일을 지정합니다. (hlsl, fx, shader, cg, glsl, vert, frag, txt),Especifica el archivo de sombreador a cargar. (hlsl, fx, shader, cg, glsl, vert, frag, txt),يحدد ملف التظليل للتحميل. (hlsl, fx, shader, cg, glsl, vert, frag, txt),Menentukan file shader yang akan dimuat. (hlsl, fx, shader, cg, glsl, vert, frag, txt),
Shader_Status_Success,Message,コンパイル成功,Compilation Success,编译成功,編譯成功,컴파일 성공,Compilación exitosa,نجاح التحويل البرمجي,Kompilasi Berhasil,
Shader_Status_Error,Message,コンパイルエラー: {0},Compile Error: {0},编译错误: {0},編譯錯誤: {0},컴파일 오류: {0},Error de compilación: {0},خطأ في التحويل البرمجي: {0},Kesalahan kompilasi: {0},
Shader_Status_Unknown,Message,未確認,Unknown,未知,未知,알 수 없음,Desconocido,مجهول,Tidak diketahui,
Shader_None,Setting Label,無効,None,无,無,없음,Ninguno,لا شيء,Tidak ada,
Group_Toon,Toon Shader,アニメ調,Toon,卡通,卡通,툰,Toon,تون,Toon,
ToonEnabled,Enable Toon,アニメ調を有効にする,Enable Toon,启用卡通,啟用卡通,툰 활성화,Habilitar Toon,تمكين تون,Aktifkan Toon,
ToonEnabled_Desc,Setting Description,影のグラデーションを段階的にしてアニメのような見た目にします。,Enables toon shading.,启用卡通着色。,啟用卡通著色。,툰 셰이딩을 활성화합니다.,Habilita el sombreado toon.,يمكّن تظليل تون.,Mengaktifkan toon shading.,
ToonSteps,Steps,色の段階数,Steps,色阶数,色階數,단계 수,Pasos,خطوات,Langkah,
ToonSteps_Desc,Setting Description,影の色の段階数を設定します。数値が小さいほどはっきりとしたアニメ調になります。,Sets the number of color bands.,设置色阶数量。,設定色階數量。,색상 단계 수를 설정합니다.,Establece el número de bandas de color.,يحدد عدد نطاقات الألوان.,Mengatur jumlah tingkatan warna. Nilai kecil membuat tampilan lebih kartun.,
ToonSmoothness,Smoothness,境界のぼかし,Smoothness,平滑度,平滑度,매끄러움,Suavidad,نعومة,Kelancaran,
ToonSmoothness_Desc,Setting Description,色の境界をどのくらいぼかすかを設定します。,Sets the smoothness of the color bands boundaries.,设置色阶边界的平滑度。,設定色階邊界的平滑度。,색상 단계 경계의 부드러움을 설정합니다.,Establece la suavidad de los límites de las bandas de color.,يحدد نعومة حدود نطاقات الألوان.,Mengatur seberapa halus batas tingkatan warna.,
Group_Rim,Rim Light,輪郭光,Rim Light,边缘光,邊緣光,림 라이트,Luz de borde,ضوء الحافة,Rim Light,
RimEnabled,Enable Rim,輪郭光を有効にする,Enable Rim,启用边缘光,啟用邊緣光,림 라이트 활성화,Habilitar borde,تمكين الحافة,Aktifkan Rim,
RimEnabled_Desc,Setting Description,モデルの縁に光を追加して立体感を強調します。,Enables rim lighting.,启用边缘光。,啟用邊緣光。,림 라이트를 활성화합니다.,Habilita la iluminación de borde.,يمكّن إضاءة الحافة.,Menambahkan cahaya di tepi model untuk menonjolkan bentuk.,
RimColor,Color,光の色,Rim Color,边缘光颜色,邊緣光顏色,림 색상,Color de borde,لون الحافة,Warna Rim,
RimColor_Desc,Setting Description,輪郭光の色を設定します。,Sets the color of the rim light.,设置边缘光的颜色。,設定邊緣光的顏色。,림 라이트의 색상을 설정합니다.,Establece el color de la luz de borde.,يحدد لون ضوء الحافة.,Mengatur warna rim light.,
RimIntensity,Intensity,光の強さ,Intensity,强度,強度,강도,Intensidad,كثافة,Intensitas,
RimIntensity_Desc,Setting Description,輪郭光の明るさを設定します。,Sets the intensity of the rim light.,设置边缘光的强度。,設定邊緣光的強度。,림 라이트의 강도를 설정합니다.,Establece la intensidad de la luz de borde.,يحدد كثافة ضوء الحافة.,Mengatur kecerahan rim light.,
RimPower,Power,光の範囲,Power,锐度,銳度,선명도,Potencia,قوة,Kekuatan,
RimPower_Desc,Setting Description,輪郭光が入る範囲の広さを設定します。,Sets the sharpness of the rim light.,设置边缘光的锐度。,設定邊緣光的銳利度。,림 라이트의 선명도를 설정합니다.,Establece la nitidez de la luz de borde.,يحدد حدة ضوء الحافة.,Mengatur ketajaman rim light.,
Group_Outline,Outline,輪郭線,Outline,轮廓,輪廓,윤곽선,Contorno,مخطط تفصيلي,Outline,
OutlineEnabled,Enable Outline,輪郭線を有効にする,Enable Outline,启用轮廓,啟用輪廓,윤곽선 활성화,Habilitar contorno,تمكين المخطط التفصيلي,Aktifkan Outline,
OutlineEnabled_Desc,Setting Description,モデルの内側の境界に線を描画します。,Enables outline rendering.,启用轮廓渲染。,啟用輪廓算繪。,윤곽선 렌더링을 활성화합니다.,Habilita la renderización de contornos.,يمكّن تصيير المخطط التفصيلي.,Menggambar garis di batas dalam model.,
OutlineColor,Color,線の色,Outline Color,轮廓颜色,輪廓顏色,윤곽선 색상,Color de contorno,لون المخطط التفصيلي,Warna Outline,
OutlineColor_Desc,Setting Description,輪郭線の色を設定します。,Sets the color of the outline.,设置轮廓的颜色。,設定輪廓的顏色。,윤곽선의 색상을 설정합니다.,Establece el color del contorno.,يحدد لون المخطط التفصيلي.,Mengatur warna outline.,
OutlineWidth,Width,線の太さ,Width,宽度,寬度,두께,Ancho,عرض,Lebar Garis,
OutlineWidth_Desc,Setting Description,輪郭線の太さ（判定の広さ）を設定します。,Sets the width of the outline.,设置轮廓的宽度。,設定輪廓的寬度。,윤곽선의 두께를 설정합니다.,Establece el ancho del contorno.,يحدد عرض المخطط التفصيلي.,Mengatur ketebalan garis outline.,
OutlinePower,Power,線のくっきり度,Threshold,阈值,閾值,임계값,Umbral,عتبة,Ambang,
OutlinePower_Desc,Setting Description,輪郭線の境界をどれくらいはっきりさせるかを設定します。,Sets the threshold for outline detection.,设置轮廓检测的阈值。,設定輪廓檢測的閾值。,윤곽선 감지 임계값을 설정합니다.,Establece el umbral para la detección de contornos.,يحدد عتبة اكتشاف المخطط التفصيلي.,Mengatur seberapa jelas batas outline.,
Group_Fog,Fog,距離フォグ,Fog,雾,霧,안개,Niebla,ضباب,Kabut,
FogEnabled,Enable Fog,距離フォグを有効にする,Enable Fog,启用雾,啟用霧,안개 활성화,Habilitar niebla,تمكين الضباب,Aktifkan Kabut,
FogEnabled_Desc,Setting Description,カメラからの距離に応じて色を混ぜ、奥行きを出します。,Enables fog effect.,启用雾效。,啟用霧效。,안개 효과를 활성화합니다.,Habilita el efecto de niebla.,يمكّن تأثير الضباب.,Mengaktifkan efek kabut.,
